,datetime,mslp,t2m,td2m,rh2,ws10,u10,v10,rain03,clflo,clfmi,clfhi
0,2021-11-14 00:00:00,1010.9304,27.120575,22.40896,75.5712,2.0215297,0.69878286,1.8969146,0.0,0.3925314,0.93729806,0.75263524
1,2021-11-14 03:00:00,1009.79114,29.947693,22.030474,62.65581,1.8494519,1.2724214,1.3421685,0.02993952,0.5917373,1.0,0.7194259
2,2021-11-14 06:00:00,1007.6535,31.542938,21.689945,56.01446,3.7647717,3.7203596,0.57656777,0.36649895,0.43271995,0.5992327,0.7152033
3,2021-11-14 09:00:00,1007.16394,30.852783,22.487381,61.163044,4.010756,3.4310737,2.076992,0.44854438,0.67206264,0.58703613,0.574512
4,2021-11-14 12:00:00,1009.686,28.901031,22.101942,66.851395,2.5352082,1.956481,1.6122848,0.5912454,0.5407243,0.6092608,0.691581
5,2021-11-14 15:00:00,1010.4067,28.011627,21.334007,67.1749,1.8413305,0.35459185,1.8068655,0.0,0.5062132,0.5800371,0.7207334
6,2021-11-14 18:00:00,1009.39136,27.327606,22.38984,74.57153,0.8418618,0.08391929,0.83766866,0.047268033,0.55151296,0.82925653,0.71580744
7,2021-11-14 21:00:00,1008.2281,27.049957,22.925583,78.30079,0.88269866,-0.83842593,0.27604148,0.022103667,0.5632415,0.9444878,0.4566586
8,2021-11-15 00:00:00,1009.86896,26.86267,22.606064,77.64997,0.4593463,0.35136276,0.29587704,0.0,0.6577952,0.77991796,0.4731462
9,2021-11-15 03:00:00,1010.0151,30.780304,21.024742,56.16844,2.29106,2.269552,0.31319278,0.0074112415,0.44192648,0.5208905,0.608953
10,2021-11-15 06:00:00,1006.9764,30.965485,23.392561,64.19249,3.71103,1.810617,-3.2393534,0.7395561,0.7790189,0.5193467,0.4035051
11,2021-11-15 09:00:00,1005.5358,30.091614,23.033735,66.041855,0.99977165,0.99926794,0.031732436,4.3390303,1.0,0.37447166,0.47668028
12,2021-11-15 12:00:00,1007.7704,29.084839,23.610455,72.47034,2.973049,2.8358166,0.89284045,1.0417714,0.76152396,0.40017843,0.5156741
13,2021-11-15 15:00:00,1008.86975,28.476044,22.84373,71.67992,1.3091829,-1.0481552,0.7844299,0.0,0.36490917,0.47096467,0.5259075
14,2021-11-15 18:00:00,1008.33484,26.737488,23.518135,82.659676,2.337534,-2.1378663,0.9453004,0.0,0.70521617,0.62157035,0.67989206
15,2021-11-15 21:00:00,1007.4912,26.529114,23.558048,83.88301,1.5058547,-1.1531699,0.9683995,0.0,0.8133004,0.75092626,0.58864355
16,2021-11-16 00:00:00,1008.79083,27.114502,23.460775,80.56724,0.70484924,-0.40168405,0.57919115,0.0,0.8657751,0.67813325,0.455387
17,2021-11-16 03:00:00,1009.3242,29.942474,22.498009,64.482895,1.3432851,1.2797877,-0.40811545,0.084625244,0.7322178,0.6590743,0.6367302
18,2021-11-16 06:00:00,1007.0006,30.574066,23.664774,66.7314,3.2070458,1.352999,-2.9076686,2.4949799,0.6754186,0.5604067,0.6732683
19,2021-11-16 09:00:00,1006.17834,28.339844,24.031351,77.61338,3.692337,3.4809983,1.2312614,7.9542174,1.0,0.58154964,0.74041176
20,2021-11-16 12:00:00,1008.46796,28.74353,23.870274,75.083115,2.4800503,2.4563332,0.34216592,4.1996512,0.74710274,0.8370054,0.8707845
21,2021-11-16 15:00:00,1009.94073,27.422546,23.973267,81.60134,2.712472,2.5278685,0.9835573,0.0,0.6185386,0.9080963,0.7942667
22,2021-11-16 18:00:00,1008.84515,27.08023,23.329865,80.09479,2.8332546,2.1298141,1.8684814,0.0,0.46469045,0.92781544,0.7250898
23,2021-11-16 21:00:00,1008.78406,26.9599,23.708895,82.52684,0.98918927,0.37739938,0.91436595,1.5133992e-08,0.4722576,0.9198456,0.8547487
24,2021-11-17 00:00:00,1010.00757,27.296112,24.074005,82.70725,0.38194185,0.17479728,0.33959606,0.0011190455,0.6373007,0.88800144,0.8431406
