,datetime,mslp,t2m,td2m,rh2,ws10,u10,v10,rain03,clflo,clfmi,clfhi
0,2021-12-26 00:00:00,1013.2844,26.651703,22.025871,75.89543,1.2616593,1.217211,-0.3319358,0.0,0.66407204,0.8181064,0.9342873
1,2021-12-26 03:00:00,1012.2453,27.718811,21.704605,69.90135,1.4525542,1.4459774,-0.13806906,0.0025729714,0.7649882,0.82815194,0.8418226
2,2021-12-26 06:00:00,1010.7376,29.852783,21.83922,62.26846,3.1855247,2.3035655,-2.200262,0.0020868806,0.47362494,0.14214396,0.708518
3,2021-12-26 09:00:00,1008.42303,30.107422,22.138596,62.493164,3.302066,2.720176,-1.8719732,0.0,0.53125477,0.08098841,0.5669708
4,2021-12-26 12:00:00,1010.0219,29.003204,22.337732,67.41714,1.579191,1.1759784,-1.0540015,0.0,0.12444615,0.2189045,0.34617686
5,2021-12-26 15:00:00,1012.0076,28.546844,20.703554,62.63948,1.9083529,1.8361481,-0.5199719,0.0,0.633677,0.23614478,0.156955
6,2021-12-26 18:00:00,1011.7057,26.305725,21.92189,76.97191,2.025804,1.742047,1.0339992,0.0,0.292531,0.26217246,0.0
7,2021-12-26 21:00:00,1010.7942,26.29013,21.962196,77.23253,0.7752145,0.6325401,0.4481635,0.0,0.44516897,0.27093697,0.0
8,2021-12-27 00:00:00,1011.8545,26.705475,22.370495,77.25901,0.6795701,0.29625496,0.61159503,0.0,0.15920186,0.16888714,0.19827032
9,2021-12-27 03:00:00,1012.31964,30.986572,20.873432,54.996372,2.5540822,2.4036124,-0.86370325,0.0,0.32911825,0.13899922,0.11062682
10,2021-12-27 06:00:00,1010.5985,30.658386,22.672394,62.545364,4.452327,2.3801126,-3.7627485,0.13345796,0.581552,0.3779993,0.0
11,2021-12-27 09:00:00,1008.8446,29.585663,23.6011,70.36281,3.8418095,2.3276327,-3.0564075,0.9308356,0.80343604,0.0014584064,0.0
12,2021-12-27 12:00:00,1011.0478,28.782013,23.338503,72.55479,2.1878967,1.9528697,-0.9865051,0.37636852,0.7507534,0.40023398,0.0
13,2021-12-27 15:00:00,1011.9195,27.38379,23.633524,80.13334,1.3422878,1.2290013,0.539715,1.4859203,0.7751739,0.5223768,0.18660295
14,2021-12-27 18:00:00,1010.96936,26.835388,23.781858,83.49942,1.3554021,1.3284608,0.26889914,0.28015447,0.9421663,0.46758723,0.11418748
15,2021-12-27 21:00:00,1009.736,26.103943,23.384338,85.12169,1.2140075,1.2122093,0.066050276,0.18014622,1.0,0.030534983,0.14729023
16,2021-12-28 00:00:00,1011.4414,26.336151,23.514656,84.6228,1.7303737,1.5694093,-0.7287988,0.20946693,0.94620633,0.5238049,0.0
17,2021-12-28 03:00:00,1011.6382,28.702698,23.104511,71.86691,2.93727,1.9906594,-2.1598215,0.12332654,0.79444146,0.35404062,0.0
18,2021-12-28 06:00:00,1009.81445,30.264801,22.981373,65.18126,4.0398626,2.411328,-3.241294,0.3833816,0.6938169,0.12789702,0.0
19,2021-12-28 09:00:00,1007.71185,30.165436,22.702015,64.45445,3.291823,1.7209957,-2.8061135,0.07792473,0.24463367,0.0,0.0
20,2021-12-28 12:00:00,1009.72906,29.098053,23.382421,71.4266,1.5126433,0.810697,-1.2770513,0.0,0.5812235,0.0,0.0
21,2021-12-28 15:00:00,1011.1187,28.498352,23.490112,74.43786,2.0767488,1.9264476,-0.7756834,0.23639774,0.91870975,0.23168254,0.0
22,2021-12-28 18:00:00,1010.173,27.063019,24.230951,84.63999,1.5019387,1.2486972,-0.83461094,3.5090294,0.90771914,0.22616816,0.01831019
23,2021-12-28 21:00:00,1008.9379,26.584229,24.521275,88.58635,0.3270623,0.3027738,-0.123684205,0.39000845,0.9595525,0.0,0.0
24,2021-12-29 00:00:00,1010.5494,26.944641,24.101746,84.57353,0.5647434,-0.01006284,0.56465375,0.00044631958,0.88427806,0.0,0.0
