,datetime,mslp,t2m,td2m,rh2,ws10,u10,v10,rain03,clflo,clfmi,clfhi
0,2021-11-03 00:00:00,1010.8404,26.764496,21.478117,72.91204,1.4326403,-1.3312984,0.52924764,0.0,0.2996416,0.7030251,0.49232793
1,2021-11-03 03:00:00,1009.9085,29.875397,21.864698,62.284206,2.0227208,-0.99494433,-1.7611034,0.0,0.44610953,0.6541929,0.48103726
2,2021-11-03 06:00:00,1008.14874,30.21576,22.326216,62.818504,3.6254435,-0.18604599,-3.6206667,0.106602676,0.48403144,0.79231334,0.48754823
3,2021-11-03 09:00:00,1007.48016,30.20224,22.520256,63.612926,2.090743,-0.24588512,-2.0762339,0.26151925,0.6188519,0.447927,0.45781124
4,2021-11-03 12:00:00,1009.39465,29.084015,23.096226,70.25995,0.853688,0.8045614,0.2854193,1.2362808,0.85389423,0.57351327,0.24728978
5,2021-11-03 15:00:00,1010.6366,28.392944,23.651182,75.6259,0.5023718,0.31786186,-0.389026,1.4891075,0.6815164,0.76809,0.23242521
6,2021-11-03 18:00:00,1009.2443,27.805206,23.646614,78.24201,0.5351796,0.32514212,0.42508805,0.03479743,0.8731501,0.77995205,0.089161515
7,2021-11-03 21:00:00,1008.6659,26.597473,24.345798,87.59267,1.2390448,-0.948371,-0.797386,0.58707166,0.9146671,0.77251005,0.088131905
8,2021-11-04 00:00:00,1010.0939,27.108276,23.73053,81.9166,1.1396981,-1.1117173,0.250991,0.710639,0.7081487,0.54686093,0.0
9,2021-11-04 03:00:00,1010.8575,29.595856,23.773245,71.05368,2.4186504,-0.31961265,-2.3974397,0.592752,0.7462635,0.6149998,0.10856342
10,2021-11-04 06:00:00,1008.16583,30.043396,23.537125,68.268326,3.8203483,0.5458517,-3.7811515,0.5495553,0.4333868,0.45169187,0.21467066
11,2021-11-04 09:00:00,1006.8422,30.362335,22.642881,63.501804,2.3131945,1.1976944,-1.9789889,0.26497936,0.8082371,0.5777235,0.0
12,2021-11-04 12:00:00,1009.12946,28.263489,23.254494,74.39757,0.17166193,-0.05981271,-0.1609045,4.5903287,0.81236625,0.5116973,0.0
13,2021-11-04 15:00:00,1010.24066,27.476746,23.266722,77.954895,2.5619342,-2.5281935,0.41442043,0.020698547,0.55188084,0.10512948,0.0
14,2021-11-04 18:00:00,1008.64624,26.681732,23.480774,82.7452,2.0010107,-2.000964,0.013665757,0.0,0.67107797,0.0,0.0
15,2021-11-04 21:00:00,1007.5441,26.999573,22.838587,78.12051,1.1916568,-0.9647273,0.69953364,0.0,0.5171368,0.0026552677,0.0
16,2021-11-05 00:00:00,1009.6213,27.597687,21.489388,69.47818,1.1810467,-0.69267017,0.95659775,0.0,0.4035797,0.121748924,0.0
17,2021-11-05 03:00:00,1009.20233,31.427216,21.71258,56.462563,1.4403939,-0.74376684,-1.2335094,0.04354,0.27263236,0.31652427,0.0
18,2021-11-05 06:00:00,1006.88837,31.222534,23.565542,63.9207,3.8078585,0.17031994,-3.8040473,0.22612953,0.42047858,0.15019155,0.24643767
19,2021-11-05 09:00:00,1005.6662,30.813019,23.469952,65.05711,3.2194,1.2868313,-2.9510338,0.0075569153,0.51194143,0.37769675,0.3474555
20,2021-11-05 12:00:00,1008.4279,28.215912,24.01182,78.08414,2.0194242,0.91338676,1.8010548,3.4849186,0.9958856,0.5683911,0.4995426
21,2021-11-05 15:00:00,1009.0604,27.842712,23.551933,77.62685,2.2656467,-2.2608576,0.14723419,0.14758682,0.40323162,0.44293213,0.5032792
22,2021-11-05 18:00:00,1007.28253,26.939392,23.467194,81.432495,1.9022921,-1.8486272,0.44865668,0.0,0.4089322,0.23728728,0.39176512
23,2021-11-05 21:00:00,1006.7997,26.65622,23.602232,83.47831,0.5637627,-0.5617001,-0.04818078,0.0,0.5484586,0.24499655,0.22706878
24,2021-11-06 00:00:00,1008.0907,27.455627,23.58005,79.54005,0.17970872,0.07565284,0.16300881,0.0,0.6568744,0.14579988,0.12659729
