,datetime,mslp,t2m,td2m,rh2,ws10,u10,v10,rain03,clflo,clfmi,clfhi
0,2021-11-17 00:00:00,1009.7831,27.329407,22.91651,76.98406,2.981501,-2.5943613,1.4692308,0.0,0.7139194,0.6696558,0.36070418
1,2021-11-17 03:00:00,1008.2495,30.965546,21.445654,57.030064,0.3170222,0.14161378,0.28363466,0.09343724,0.90594816,0.6967871,0.56041026
2,2021-11-17 06:00:00,1007.60126,30.530304,23.014534,64.3251,3.0077238,0.72717386,-2.9184961,3.728138,0.8163941,0.6901481,0.6480334
3,2021-11-17 09:00:00,1007.09576,28.763306,23.655827,74.03595,1.7413667,1.68454,0.4412288,10.543125,0.7608621,0.6457217,0.53512406
4,2021-11-17 12:00:00,1008.6709,28.27771,23.960186,77.56266,0.49133623,-0.47626624,0.120755024,2.9563942,0.73795867,0.8326392,0.6430726
5,2021-11-17 15:00:00,1010.00195,27.02124,24.998066,88.82765,1.7765247,-1.7134281,-0.4692589,0.03245735,0.6396787,0.92849493,0.50237846
6,2021-11-17 18:00:00,1008.4984,26.936188,23.436111,81.29539,0.8058995,-0.62584037,0.507738,0.13937569,0.5917387,1.0,0.584707
7,2021-11-17 21:00:00,1007.6341,26.710938,23.589539,83.14592,1.1275938,0.17809576,1.1134404,0.16434479,0.5190213,0.8448701,0.42027354
8,2021-11-18 00:00:00,1009.22546,27.027252,22.980722,78.667435,1.0822862,0.73646677,0.7930702,0.010438919,0.7026541,0.9347751,0.4459021
9,2021-11-18 03:00:00,1009.1421,30.372528,22.939827,64.61689,2.3282716,2.3269787,0.07758283,0.13567734,0.87309694,0.6070807,0.40962994
10,2021-11-18 06:00:00,1007.09796,28.428925,24.59549,79.86513,2.8976722,2.4942229,-1.4749086,6.6950536,0.51753545,0.45875335,0.35678065
11,2021-11-18 09:00:00,1005.4199,29.192017,23.71089,72.458824,3.700699,3.4262576,1.3985465,5.018041,0.7783041,0.28437138,0.5598569
12,2021-11-18 12:00:00,1006.77155,28.175903,24.182142,79.070206,3.133437,2.9601495,1.02759,0.84895706,0.48609638,0.31218648,0.54535055
13,2021-11-18 15:00:00,1008.3676,27.835815,22.755116,74.007835,1.743733,1.0337529,1.4042649,0.0022659302,0.31554627,0.3151405,0.39435244
14,2021-11-18 18:00:00,1007.30145,26.389496,22.836046,80.96816,1.545531,1.2641971,0.8890849,0.0,0.4691422,0.6845863,0.5553701
15,2021-11-18 21:00:00,1006.8212,25.654297,22.845242,84.619194,1.8842463,1.8352659,0.42682976,0.0,0.5556271,0.7818818,0.71866775
16,2021-11-19 00:00:00,1008.0059,26.43283,22.566336,79.45122,0.84964967,0.77186257,0.35515165,0.0,0.5915072,0.52250266,0.50345445
17,2021-11-19 03:00:00,1008.02734,30.63559,21.866089,59.629242,2.4859574,2.424143,0.5509213,0.0019702911,0.52582407,0.53488016,0.52788115
18,2021-11-19 06:00:00,1005.82983,30.151428,23.940516,69.512085,3.0445375,2.7584953,-1.2883759,3.6909673,0.6898527,0.45730782,0.4177853
19,2021-11-19 09:00:00,1004.6632,29.559418,23.771975,71.1978,3.0878363,3.0235264,0.6269134,7.691288,0.64573526,0.40333915,0.4906211
20,2021-11-19 12:00:00,1006.7829,28.487885,24.175686,77.61667,3.1820676,2.1180427,2.3747528,1.4266777,0.4998889,0.41084003,0.63107324
21,2021-11-19 15:00:00,1008.40247,27.470642,24.022095,81.61049,1.1826613,-1.1701387,0.17164838,0.0,0.6082294,0.6297629,0.7422166
22,2021-11-19 18:00:00,1007.58716,26.510773,23.57423,84.055725,1.139611,-1.1016059,-0.29185212,0.0,0.43324828,0.663532,0.6878934
23,2021-11-19 21:00:00,1007.0638,26.570923,23.33927,82.579956,0.64121157,0.094558634,0.63420105,0.0,0.6450696,0.6549363,0.39560604
24,2021-11-20 00:00:00,1008.38495,26.694641,22.95304,80.08863,1.1516241,0.5437293,1.015183,0.0,0.48297477,0.6719389,0.30579495
