,datetime,mslp,t2m,td2m,rh2,ws10,u10,v10,rain03,clflo,clfmi,clfhi
0,2021-11-20 00:00:00,1007.5077,27.186096,21.930822,73.12111,2.2171185,2.143531,0.56647074,0.0,0.48507142,0.84468937,0.7171116
1,2021-11-20 03:00:00,1007.4387,30.942047,20.97917,55.49594,2.1266637,2.0748463,-0.4665962,0.0,0.6570208,0.92242074,0.6512799
2,2021-11-20 06:00:00,1006.1723,30.818481,22.036161,59.623688,4.0363064,1.6890016,-3.6659303,0.0,0.18506551,0.96343637,0.72426605
3,2021-11-20 09:00:00,1005.8361,30.496918,22.424313,62.183,3.1993482,1.4677542,-2.8428025,0.0,0.086013556,0.7591872,0.597692
4,2021-11-20 12:00:00,1008.4306,29.371033,23.171265,69.4171,1.5797124,0.70124775,-1.4155363,0.0,0.34857655,0.6949949,0.5319159
5,2021-11-20 15:00:00,1009.3853,28.378326,24.112545,77.81785,1.6036267,1.4899292,0.59306824,0.0,0.44049144,0.8381617,0.48975194
6,2021-11-20 18:00:00,1008.57477,27.3497,22.064682,73.015785,1.7767113,1.4993349,0.9532565,0.0,0.4154563,0.8912246,0.66041565
7,2021-11-20 21:00:00,1007.3927,26.736023,20.675638,69.52325,1.6052744,1.1967107,1.0699484,0.0,0.38514566,0.91750455,0.48646712
8,2021-11-21 00:00:00,1008.7445,27.355103,23.09409,77.698265,2.0222738,1.7345883,1.0396128,0.0,0.4541006,0.8651762,0.42030942
9,2021-11-21 03:00:00,1009.25836,31.02475,22.889738,62.06096,2.3717632,1.615869,-1.7361535,0.1986974,0.77755046,0.55972695,0.48921752
10,2021-11-21 06:00:00,1007.08954,30.010895,24.375696,71.9285,3.233591,3.0417428,-1.097229,5.081922,1.0,0.9977102,0.3859434
11,2021-11-21 09:00:00,1005.9624,29.87268,24.409592,72.65013,2.7839997,2.720301,-0.5921292,4.9965863,0.97432566,0.12464571,0.28569484
12,2021-11-21 12:00:00,1007.83875,29.223846,24.223248,74.58518,3.3315465,3.1757476,1.0068911,2.0064893,0.48601127,0.16919374,0.42364728
13,2021-11-21 15:00:00,1009.6328,27.625,24.173738,81.61507,3.1937914,2.9353147,1.2586626,0.0,0.3455341,0.3105116,0.34312916
14,2021-11-21 18:00:00,1008.69086,26.856232,23.817762,83.57724,2.6772354,2.413746,1.1581961,0.0,0.536865,0.25892735,0.32921588
15,2021-11-21 21:00:00,1007.77344,26.168182,23.566988,85.73738,2.8014386,2.4650407,1.3310268,0.0,0.52477694,0.018602371,0.16481948
16,2021-11-22 00:00:00,1008.6419,27.227173,23.797852,81.67658,3.728427,3.5025666,1.2779647,0.0,0.70501566,0.055392265,0.17490971
17,2021-11-22 03:00:00,1009.1235,30.91867,23.119272,63.311092,3.8003373,3.7629433,-0.5318101,0.10105515,0.720165,0.5167992,0.17550945
18,2021-11-22 06:00:00,1006.7367,30.469788,23.48783,66.41973,3.50442,3.3389623,-1.0640911,2.6892886,0.6543746,0.3759098,0.17892551
19,2021-11-22 09:00:00,1005.1315,29.191406,23.706614,72.44275,3.2123382,3.1900206,0.37800124,7.469864,0.74618745,0.18193293,0.2769394
20,2021-11-22 12:00:00,1007.2775,28.43692,24.24843,78.187256,3.45397,3.3665102,0.7723455,0.18454552,0.45794225,0.3179226,0.23585021
21,2021-11-22 15:00:00,1008.8848,27.39746,23.661472,80.20393,3.0175822,2.9537392,0.61743605,0.0,0.3542924,0.35372162,0.47200406
22,2021-11-22 18:00:00,1007.3816,26.473541,23.494753,83.83827,2.9137204,2.8758938,0.46797508,0.0014629364,0.36427546,0.16017675,0.5097699
23,2021-11-22 21:00:00,1006.6154,25.733063,23.614182,88.22745,2.6053705,2.4460661,0.89705974,0.0,0.37908077,0.07894921,0.36347866
24,2021-11-23 00:00:00,1008.1917,27.103058,23.711744,81.84919,3.5793061,3.4611342,0.91213053,0.0,0.5334883,0.2082498,0.34445512
