,datetime,mslp,t2m,td2m,rh2,ws10,u10,v10,rain03,clflo,clfmi,clfhi
0,2021-10-03 00:00:00,1010.7336,27.131989,21.66321,72.16505,2.0631487,-0.8247066,1.8911481,0.0,0.4204359,0.0,0.07277799
1,2021-10-03 03:00:00,1011.8849,30.602325,20.397476,54.593765,1.383301,-0.9397797,-1.0150546,0.06103122,0.99388003,0.15055704,0.46856022
2,2021-10-03 06:00:00,1007.99786,30.290741,22.266829,62.323116,3.992985,-0.83203244,-3.9053361,0.9734025,0.41978168,0.6160612,0.45243526
3,2021-10-03 09:00:00,1007.90753,29.795868,22.728827,65.94664,3.2385087,0.17397729,-3.2338321,0.0,0.27433157,0.6090255,0.3642285
4,2021-10-03 12:00:00,1008.8653,28.915253,22.903208,70.12679,1.8427268,0.20427884,-1.8313689,0.0,0.5881722,0.9368119,0.26571727
5,2021-10-03 15:00:00,1010.3011,28.40738,22.785583,71.71379,0.65492696,-0.5090981,0.4120054,0.37865412,0.6989422,0.90934944,0.38396227
6,2021-10-03 18:00:00,1008.9672,27.682587,22.400696,73.08487,1.3882203,-0.03059522,1.3878831,0.07876611,0.71370006,1.0,0.7938726
7,2021-10-03 21:00:00,1008.6703,26.902344,21.04347,70.42085,1.7870122,0.3385102,1.7546576,0.0,0.66440225,0.8146064,0.68375635
8,2021-10-04 00:00:00,1010.2338,27.334656,20.54654,66.58719,0.7193836,0.112895235,0.71046984,0.0,0.843606,0.57671666,0.66108775
9,2021-10-04 03:00:00,1009.60834,30.635468,21.452187,58.140038,1.2744082,-0.33754718,-1.228893,0.051348567,0.6426573,0.263278,0.58685446
10,2021-10-04 06:00:00,1007.3573,30.001923,22.763802,65.30733,3.6780887,-0.2102232,-3.672076,0.18756258,0.32418895,0.28048086,0.4045061
11,2021-10-04 09:00:00,1005.9947,29.917786,22.808964,65.804085,3.0542912,0.79705626,-2.9484565,0.0,0.6614096,0.3214984,0.13579226
12,2021-10-04 12:00:00,1007.954,28.895233,23.185936,71.41892,0.746517,-0.08797941,-0.74131453,1.0958121,0.9149101,0.4421444,0.18578792
13,2021-10-04 15:00:00,1009.6379,27.79541,23.39221,77.09597,0.7439068,-0.62569034,-0.402379,1.8298798,0.9124465,0.68209004,0.2712022
14,2021-10-04 18:00:00,1008.27765,26.83319,20.791233,69.62016,2.747672,0.019025244,2.7476063,0.19628668,0.9052665,0.7310915,0.46728444
15,2021-10-04 21:00:00,1007.6549,26.404236,20.192924,68.81688,2.6734877,0.4264589,2.6392555,0.012081623,0.8817909,0.438308,0.35389006
16,2021-10-05 00:00:00,1008.8827,27.331085,19.705301,63.224365,2.05138,-0.007996187,2.0513644,0.00067567825,0.8618531,0.38253474,0.2719971
17,2021-10-05 03:00:00,1009.1751,30.579742,20.19805,53.995167,1.1337842,1.1009706,0.2707958,0.0016241074,0.55775523,0.3497224,0.24944854
18,2021-10-05 06:00:00,1006.9242,31.449036,21.760065,56.55629,3.643323,1.8098774,-3.1619844,0.11552858,0.31121755,0.091908455,0.1740042
19,2021-10-05 09:00:00,1005.64154,30.05478,22.939291,65.80478,3.5656002,1.2452292,-3.3410938,0.0,0.42108822,0.0,0.057442307
20,2021-10-05 12:00:00,1007.8782,28.996155,22.94138,69.96015,1.7232374,-1.1918951,-1.2445614,0.022352695,0.8966999,0.43513632,0.058344364
21,2021-10-05 15:00:00,1009.8546,27.432251,21.085041,68.43737,2.2800562,0.24332753,2.267035,0.0631299,0.54030323,0.07757282,0.15222561
22,2021-10-05 18:00:00,1008.5196,26.948181,23.113483,79.67116,2.5614204,-1.7208058,1.8972881,0.013542652,0.98816776,0.0,0.069955945
23,2021-10-05 21:00:00,1007.7783,26.45514,20.841763,71.411064,2.1463065,-0.5161427,2.0833216,0.079472065,0.7857871,0.0,0.0
24,2021-10-06 00:00:00,1008.8243,26.956238,18.281038,59.13573,3.961763,0.75223017,3.8896935,0.017238617,0.50200295,0.0,0.0
